
# ========== optimize session started at 2026-02-24 08:54:04 ==========
# ========== optimize session ended at 2026-02-24 08:54:15, 0 items, 0B ==========
# ========== optimize session ended at 2026-02-24 08:54:15, 0 items, 0B ==========

# ========== optimize session started at 2026-02-25 10:49:25 ==========
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/ru.onmoon.MarketApp.savedState (20KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/com.google.chrome.for.testing.savedState (8KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/ru.tfinance.tmazing.savedState (12KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/cider.savedState (12KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/ru.cryptopro.cptools.savedState (12KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/ru.cryptopro.CryptoPro-ECP.savedState (8KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/com.amnezia.AmneziaVPN.savedState (8KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/com.google.Chrome.canary.savedState (16KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/com.paragon-software.ntfs.installer.savedState (12KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/org.alacritty.savedState (12KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/org.python.PythonLauncher.savedState (12KB)
[2026-02-25 10:49:33] [optimize] REMOVED /Users/andreychev/Library/Application Support/Dock/desktoppicture.db (52KB)
# ========== optimize session ended at 2026-02-25 10:50:15, 14 items, 0B ==========

# ========== optimize session started at 2026-02-25 10:50:19 ==========
# ========== optimize session ended at 2026-02-25 10:50:48, 14 items, 0B ==========

# ========== optimize session started at 2026-02-25 10:50:51 ==========
# ========== optimize session ended at 2026-02-25 10:51:36, 14 items, 0B ==========

# ========== uninstall session started at 2026-02-25 10:56:17 ==========

# ========== clean session started at 2026-02-25 10:57:06 ==========
[2026-02-25 10:57:52] [clean] REMOVED /Library/Logs/DiagnosticReports/.WindowServer_2023-11-08-105411_Philipps-MacBook-Pro.wakeups_resource.diag
[2026-02-25 10:57:52] [clean] REMOVED /Library/Logs/DiagnosticReports/.shutdown_stall_2022-11-15-231421_Philipps-MacBook-Pro.shutdownStall
[2026-02-25 10:57:52] [clean] REMOVED /Library/Logs/DiagnosticReports/.shutdown_stall_2023-03-10-164415_Philipps-MacBook-Pro.shutdownStall
[2026-02-25 10:57:53] [clean] REMOVED /Library/Logs/DiagnosticReports/.DirectoryTools_2025-09-27-173337_Philipps-MacBook-Pro.diag
[2026-02-25 10:57:53] [clean] REMOVED /Library/Logs/DiagnosticReports/.contents.panic (16KB)
[2026-02-25 10:57:53] [clean] REMOVED /private/var/log/AmneziaVPN/post-install.log (4KB)
[2026-02-25 10:57:53] [clean] REMOVED /private/var/log/shutdown_monitor.log (16KB)
[2026-02-25 10:57:53] [clean] REMOVED /private/var/log/powermanagement/2026.02.12.asl (1.5MB)
[2026-02-25 10:57:53] [clean] REMOVED /private/var/log/powermanagement/2026.02.13.asl (1.8MB)
[2026-02-25 10:57:53] [clean] REMOVED /private/var/log/powermanagement/2026.02.11.asl (1.6MB)
[2026-02-25 10:57:53] [clean] REMOVED /private/var/log/powermanagement/2026.02.14.asl (2.1MB)
[2026-02-25 10:57:53] [clean] REMOVED /private/var/log/powermanagement/2026.02.15.asl (1.8MB)
[2026-02-25 10:57:54] [clean] REMOVED /private/var/log/powermanagement/2026.02.16.asl (2.3MB)
[2026-02-25 10:57:54] [clean] REMOVED /private/var/log/asl/BB.2026.12.31.G80.asl (172KB)
[2026-02-25 10:57:54] [clean] REMOVED /private/var/log/asl/BB.2026.11.30.G80.asl (60KB)
[2026-02-25 10:57:54] [clean] REMOVED /private/var/log/asl/BB.2027.01.31.G80.asl (96KB)
[2026-02-25 10:57:54] [clean] REMOVED /private/var/folders/39/9dhtw4wx5kj9hqsnc7c8w8bc0000gn/X/com.google.Chrome.code_sign_clone
[2026-02-25 10:57:59] [clean] REMOVED /private/var/db/diagnostics/shutdown.0.log (132KB)
[2026-02-25 10:57:59] [clean] REMOVED /private/var/db/diagnostics/logd.1.log (1.0MB)
[2026-02-25 10:58:00] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2af.tracev3 (1.9MB)
[2026-02-25 10:58:00] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a256.tracev3 (1.9MB)
[2026-02-25 10:58:00] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2fd.tracev3 (1.9MB)
[2026-02-25 10:58:00] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2a6.tracev3 (1.9MB)
[2026-02-25 10:58:00] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a180.tracev3 (64KB)
[2026-02-25 10:58:00] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a337.tracev3 (1.9MB)
[2026-02-25 10:58:00] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a294.tracev3 (1.9MB)
[2026-02-25 10:58:00] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a270.tracev3 (1.9MB)
[2026-02-25 10:58:00] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a336.tracev3 (1.9MB)
[2026-02-25 10:58:00] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a26a.tracev3 (1.9MB)
[2026-02-25 10:58:00] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2fe.tracev3 (1.9MB)
[2026-02-25 10:58:00] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a198.tracev3 (60KB)
[2026-02-25 10:58:00] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2f5.tracev3 (1.9MB)
[2026-02-25 10:58:01] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a268.tracev3 (1.9MB)
[2026-02-25 10:58:01] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a26c.tracev3 (1.9MB)
[2026-02-25 10:58:01] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2d1.tracev3 (1.9MB)
[2026-02-25 10:58:01] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2e1.tracev3 (1.9MB)
[2026-02-25 10:58:01] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a297.tracev3 (1.9MB)
[2026-02-25 10:58:01] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2c3.tracev3 (1.9MB)
[2026-02-25 10:58:01] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a33d.tracev3 (1.8MB)
[2026-02-25 10:58:01] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2ae.tracev3 (1.9MB)
[2026-02-25 10:58:01] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2f7.tracev3 (1.9MB)
[2026-02-25 10:58:01] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a25e.tracev3 (1.9MB)
[2026-02-25 10:58:01] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a24e.tracev3 (1.2MB)
[2026-02-25 10:58:01] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2ff.tracev3 (1.9MB)
[2026-02-25 10:58:01] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a30c.tracev3 (1.9MB)
[2026-02-25 10:58:01] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a23f.tracev3 (1.9MB)
